                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.1421,                0.60139,                 1.2157,                0.97202,                 0.9451,                0.97338,                0.66405,                 1.1896,                0.45581,                 1.1991,               0.004852,               0.004852,               0.004852
                     54,                 1.1471,                0.60288,                 1.2181,                0.97297,                0.94557,                0.97423,                0.66387,                 1.1886,                0.45459,                 1.1983,               0.004753,               0.004753,               0.004753
                     55,                 1.1435,                0.59853,                 1.2187,                0.97201,                 0.9448,                0.97448,                 0.6644,                 1.1885,                0.45443,                 1.1982,               0.004654,               0.004654,               0.004654
                     56,                  1.144,                0.59619,                 1.2179,                0.97248,                0.94477,                0.97481,                0.66482,                 1.1873,                0.45393,                 1.1973,               0.004555,               0.004555,               0.004555
                     57,                 1.1317,                0.58914,                 1.2118,                0.97201,                0.94475,                0.97357,                0.66542,                 1.1867,                0.45321,                 1.1968,               0.004456,               0.004456,               0.004456
                     58,                 1.1361,                 0.5916,                 1.2109,                0.97294,                0.94444,                0.97362,                0.66674,                 1.1856,                0.45298,                 1.1957,               0.004357,               0.004357,               0.004357
                     59,                 1.1288,                0.58795,                 1.2062,                0.97377,                0.94371,                0.97268,                0.66695,                 1.1851,                0.45224,                 1.1951,               0.004258,               0.004258,               0.004258
                     60,                 1.1321,                0.58702,                 1.2082,                0.97364,                0.94371,                0.97324,                0.66786,                 1.1844,                0.45251,                 1.1946,               0.004159,               0.004159,               0.004159
                     61,                 1.1328,                 0.5827,                 1.2052,                0.97434,                0.94387,                0.97479,                 0.6686,                 1.1834,                0.45227,                  1.194,                0.00406,                0.00406,                0.00406
                     62,                 1.1302,                 0.5848,                 1.2085,                0.97384,                0.94278,                0.97321,                0.66847,                 1.1831,                0.45155,                 1.1936,               0.003961,               0.003961,               0.003961
                     63,                 1.1245,                0.57878,                 1.2001,                 0.9748,                0.94349,                0.97284,                0.66956,                 1.1824,                0.45095,                 1.1934,               0.003862,               0.003862,               0.003862
